epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.98,1.28936,5.82201,1.31406,0.57724,0.16476,0.11899,0.08352,1.09401,4.21841,1.07593,8.23755e-05,8.23755e-05,8.23755e-05
2,74.1956,1.14723,2.9211,1.16486,0.65961,0.2355,0.21719,0.14759,1.19991,2.74228,1.08351,0.000164068,0.000164068,0.000164068
3,113.569,1.14434,2.28451,1.16899,0.60582,0.24912,0.28183,0.18884,1.19505,2.02104,1.07389,0.000244111,0.000244111,0.000244111
4,153.279,1.12801,1.93645,1.14919,0.49783,0.31942,0.32358,0.21346,1.19788,1.8286,1.09377,0.000242575,0.000242575,0.000242575
5,193.993,1.09305,1.64973,1.13011,0.64749,0.3362,0.43826,0.28702,1.1581,1.50336,1.08583,0.0002401,0.0002401,0.0002401
6,233.218,1.08982,1.60744,1.13261,0.53907,0.45234,0.42035,0.28447,1.09611,1.40592,1.05192,0.000237625,0.000237625,0.000237625
7,271.208,1.08007,1.50058,1.12529,0.69207,0.39125,0.41453,0.27828,1.13402,1.30459,1.0726,0.00023515,0.00023515,0.00023515
8,308.38,1.04604,1.3898,1.12191,0.49294,0.4978,0.48847,0.33535,1.13673,1.26259,1.07528,0.000232675,0.000232675,0.000232675
9,347.891,1.04176,1.35739,1.09739,0.75289,0.41568,0.52622,0.35398,1.11006,1.2294,1.0623,0.0002302,0.0002302,0.0002302
10,387.584,1.04719,1.25244,1.12206,0.61586,0.42247,0.53881,0.36545,1.11507,1.07027,1.07433,0.000227725,0.000227725,0.000227725
11,428.612,1.01809,1.18375,1.09117,0.76558,0.46383,0.53792,0.35829,1.17897,1.09889,1.09324,0.00022525,0.00022525,0.00022525
12,467.37,0.99511,1.16461,1.0837,0.69709,0.52274,0.56425,0.38629,1.05372,1.03895,1.07119,0.000222775,0.000222775,0.000222775
13,511.156,0.9913,1.14048,1.08525,0.8085,0.45866,0.56654,0.38312,1.10719,0.98781,1.0595,0.0002203,0.0002203,0.0002203
14,552.476,0.98686,1.08572,1.08331,0.57869,0.56376,0.57975,0.40799,1.06198,0.99449,1.04242,0.000217825,0.000217825,0.000217825
15,594.299,0.96093,1.02307,1.07437,0.73449,0.47408,0.55157,0.39053,1.05405,0.95812,1.04153,0.00021535,0.00021535,0.00021535
16,632.651,0.98442,0.98737,1.08669,0.6856,0.56151,0.554,0.38392,1.08333,1.01271,1.05423,0.000212875,0.000212875,0.000212875
17,671.024,0.97475,1.0024,1.06915,0.64953,0.5542,0.6495,0.47111,0.97742,0.97422,1.01446,0.0002104,0.0002104,0.0002104
18,711.417,0.96478,0.95449,1.06429,0.70694,0.53764,0.6647,0.48707,0.98789,0.89612,1.00193,0.000207925,0.000207925,0.000207925
19,751.607,0.95178,0.95737,1.06945,0.83273,0.45602,0.64433,0.45964,1.01738,0.89372,1.0196,0.00020545,0.00020545,0.00020545
20,790.56,0.93544,0.9256,1.05911,0.81555,0.5207,0.60193,0.41346,1.05976,0.90724,1.03824,0.000202975,0.000202975,0.000202975
21,828.137,0.93214,0.91412,1.05973,0.72364,0.49364,0.56058,0.40563,1.02744,0.93679,1.04306,0.0002005,0.0002005,0.0002005
22,866.01,0.92991,0.87498,1.05704,0.77622,0.53765,0.61666,0.42482,1.0717,0.88407,1.05166,0.000198025,0.000198025,0.000198025
23,902.619,0.92125,0.90176,1.06025,0.85643,0.50285,0.64799,0.46259,1.04184,0.86991,1.05122,0.00019555,0.00019555,0.00019555
24,939.842,0.90993,0.86852,1.05618,0.74775,0.55638,0.64638,0.44997,1.01268,0.83685,1.02639,0.000193075,0.000193075,0.000193075
25,977.39,0.89998,0.83526,1.04472,0.79355,0.57215,0.61863,0.4347,1.00442,0.84669,1.01471,0.0001906,0.0001906,0.0001906
26,1014.86,0.88801,0.80053,1.03634,0.92233,0.50863,0.66719,0.47112,1.02599,0.82745,1.02782,0.000188125,0.000188125,0.000188125
27,1052.39,0.87436,0.77234,1.0278,0.73005,0.61269,0.66494,0.48112,1.00251,0.84082,1.01823,0.00018565,0.00018565,0.00018565
